player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
O'Cyrus Torrence,102821,G,BUF,17,0,4,46.7,100.0,212,42.6,212,54.6,0,100.0,498,498,65.5,100.0,222,44.6,222
Abraham Lucas,60218,T,SEA,17,0,29,60.2,100.0,170,34.1,170,76.8,0,100.0,498,498,84.9,100.0,279,56.0,279
Grey Zabel,125314,G,SEA,17,0,29,54.6,100.0,171,34.4,171,56.3,3,100.0,497,497,58.0,100.0,276,55.5,276
Roger Rosengarten,131912,T,BLT,17,0,3,58.1,100.0,160,33.5,160,74.8,0,100.0,478,478,80.7,100.0,260,54.4,260
Anthony Bradford,99103,G,SEA,17,0,29,49.6,100.0,162,34.0,162,54.7,0,100.0,477,477,59.8,100.0,267,56.0,267
Daniel Faalele,81734,G,BLT,17,0,3,50.1,100.0,160,33.6,160,53.5,1,100.0,476,476,58.3,100.0,258,54.2,258
Greg Van Roten,7746,G,NYG,17,0,21,64.3,100.0,174,36.9,174,61.3,0,100.0,472,472,52.6,100.0,263,55.7,263
Tyler Linderbaum,82291,C,BLT,17,0,3,66.5,100.0,160,34.0,160,83.2,3,100.0,471,471,84.1,100.0,257,54.6,257
Elijah Wilkinson,46238,T,ATL,17,0,2,54.3,100.0,103,22.0,103,68.3,1,100.0,469,469,69.3,100.0,341,72.7,341
Ryan Neuzil,41123,C,ATL,17,1,2,59.3,100.0,103,22.0,103,82.1,1,100.0,469,469,83.3,100.0,341,72.7,341
Drew Dalman,52270,C,CHI,17,0,6,66.2,100.0,141,30.2,141,78.9,0,100.0,467,467,84.9,100.0,279,59.7,279
Joe Thuney,10712,G,CHI,17,0,6,58.9,100.0,141,30.5,141,71.0,0,100.0,463,463,79.0,100.0,276,59.6,276
Chris Lindstrom,46692,G,ATL,17,0,2,58.3,100.0,102,22.0,102,91.7,2,100.0,463,463,93.1,100.0,337,72.8,337
Jonah Jackson,37070,G,CHI,17,1,6,64.0,100.0,139,30.0,139,72.4,2,100.0,463,463,73.9,100.0,278,60.0,278
Coleman Shelton,39316,C,LA,17,0,26,66.6,100.0,211,46.3,211,77.6,1,100.0,456,456,81.9,100.0,202,44.3,202
Andrew Vorhees,60818,G,BLT,17,0,3,51.6,100.0,152,33.3,152,54.3,0,100.0,456,456,52.8,100.0,252,55.3,252
Dominick Puni,163815,G,SF,17,0,28,57.5,100.0,117,25.7,117,69.1,1,100.0,455,455,72.8,100.0,278,61.1,278
Jake Matthews,8641,T,ATL,17,0,2,52.6,100.0,98,21.7,98,54.7,2,100.0,452,452,56.5,100.0,331,73.2,331
Colton McKivitz,29314,T,SF,17,0,28,86.9,100.0,117,25.9,117,90.3,0,100.0,451,451,88.1,100.0,280,62.1,280
Jermaine Eluemunor,11914,T,NYG,16,0,21,58.3,100.0,166,37.0,166,55.2,0,100.0,449,449,57.8,100.0,257,57.2,257
Sam Darnold,29048,QB,SEA,17,0,29,60.2,100.0,161,36.3,161,60.7,0,95.5,444,465,60.3,99.2,256,57.7,258
Connor McGovern,41714,C,BUF,16,0,4,68.3,100.0,191,43.0,191,65.3,1,100.0,444,444,59.9,100.0,198,44.6,198
David Edwards,35941,G,BUF,16,0,4,64.4,100.0,191,43.3,191,69.0,0,100.0,441,441,73.8,100.0,198,44.9,198
Jon Runyan,36661,G,NYG,16,0,21,44.2,100.0,169,38.3,169,49.2,1,100.0,441,441,52.6,100.0,239,54.2,239
Terence Steele,39461,T,DAL,17,1,9,55.9,100.0,159,36.1,159,70.2,2,100.0,441,441,82.8,100.0,229,51.9,229
Tate Ratledge,124034,G,DET,17,0,11,73.6,100.0,161,36.6,161,73.5,2,100.0,440,440,73.2,100.0,249,56.6,249
Jake Andrews,81868,C,HST,16,1,13,69.0,100.0,192,43.9,192,59.5,3,100.0,437,437,59.0,100.0,189,43.2,189
Darnell Wright,98480,T,CHI,16,0,6,83.7,100.0,132,30.3,132,85.6,2,100.0,436,436,85.6,100.0,264,60.6,264
Graham Barton,122367,C,TB,17,1,30,71.6,100.0,227,52.3,227,66.0,3,100.0,434,434,60.9,100.0,177,40.8,177
Alaric Jackson,40972,T,LA,16,0,26,68.7,100.0,201,46.5,201,84.3,1,100.0,432,432,90.4,100.0,194,44.9,194
Mike Onwenu,27357,G,NE,17,0,19,69.6,100.0,222,51.4,222,74.2,0,100.0,432,432,80.4,100.0,133,30.8,133
Matthew Stafford,4924,QB,LA,17,0,26,60.0,99.5,210,48.8,211,60.0,0,94.9,430,453,60.0,100.0,202,47.0,202
Josh Conerly Jr.,163291,T,WAS,17,0,32,52.2,100.0,233,54.3,233,63.5,1,100.0,429,429,76.5,100.0,167,38.9,167
Garrett Bradbury,46013,C,NE,17,0,19,61.0,100.0,221,51.6,221,56.2,0,100.0,428,428,57.9,100.0,130,30.4,130
Caleb Williams,144622,QB,CHI,17,0,6,60.0,96.4,135,31.8,140,60.2,0,92.4,425,460,60.2,97.8,269,63.3,275
Tyler Steen,81921,G,PHI,17,1,24,54.8,100.0,139,33.2,139,71.8,4,100.0,419,419,78.0,100.0,217,51.8,217
Aireontae Ersery,129649,T,HST,16,1,13,51.9,100.0,188,45.0,188,51.8,5,100.0,418,418,48.3,100.0,181,43.3,181
Jared Goff,10635,QB,DET,17,0,11,60.3,99.4,159,38.0,160,60.7,0,97.0,418,431,60.9,100.0,244,58.4,244
Rasheed Walker,81798,T,GB,16,0,12,65.6,100.0,162,39.1,162,55.4,1,100.0,414,414,48.5,100.0,207,50.0,207
Mike McGlinchey,46275,T,DEN,17,0,10,59.2,100.0,211,51.1,211,82.7,2,100.0,413,413,94.0,100.0,144,34.9,144
Tytus Howard,25472,T,HST,16,1,13,49.3,100.0,176,42.7,176,50.8,5,100.0,412,412,55.1,100.0,185,44.9,185
Garett Bolles,11775,T,DEN,17,0,10,57.6,100.0,211,51.2,211,80.7,0,100.0,412,412,94.4,100.0,146,35.4,146
Morgan Moses,8701,T,NE,17,0,19,68.6,100.0,213,51.8,213,77.1,1,100.0,411,411,86.2,100.0,129,31.4,129
Ronnie Stanley,10640,T,BLT,16,0,3,54.3,100.0,139,33.9,139,68.0,0,100.0,410,410,74.3,100.0,231,56.3,231
Tyler Smith,98385,G,DAL,16,1,9,67.7,100.0,147,35.9,147,81.1,1,100.0,410,410,83.7,100.0,215,52.4,215
Zion Johnson,99681,G,LAC,16,0,27,59.2,100.0,189,46.3,189,53.4,2,100.0,408,408,54.4,100.0,176,43.1,176
Jordan Mailata,66916,T,PHI,16,0,24,74.7,100.0,131,32.1,131,79.9,2,100.0,408,408,80.3,100.0,213,52.2,213
Baker Mayfield,46518,QB,TB,17,0,30,60.2,99.1,222,54.5,224,60.1,0,97.1,407,419,60.0,99.4,166,40.8,167
Ezra Cleveland,41973,G,JAX,16,0,15,58.2,100.0,154,37.8,154,64.6,0,100.0,407,407,67.4,100.0,194,47.7,194
Josh Myers,59992,C,NYJ,17,0,22,48.2,100.0,105,25.9,105,51.7,0,100.0,406,406,57.4,100.0,255,62.8,255
Joe Tippmann,101568,G,NYJ,17,0,22,63.5,100.0,105,25.9,105,66.7,0,100.0,406,406,69.4,100.0,255,62.8,255
Armand Membou,125008,T,NYJ,17,1,22,49.1,100.0,105,25.9,105,72.1,1,100.0,406,406,82.3,100.0,255,62.8,255
Matt Goncalves,99680,G,IND,16,0,14,54.6,100.0,214,52.8,214,65.9,2,100.0,405,405,73.6,100.0,156,38.5,156
Bradley Bozeman,27934,C,LAC,16,0,27,49.2,100.0,188,46.5,188,51.1,0,100.0,404,404,58.8,100.0,175,43.3,175
Olumuyiwa Fashanu,129777,T,NYJ,17,0,22,68.3,100.0,105,26.0,105,57.1,0,100.0,404,404,52.5,100.0,254,62.9,254
Trent Williams,5529,T,SF,15,0,28,82.7,100.0,111,27.5,111,92.8,1,100.0,403,403,94.4,100.0,245,60.8,245
Jonah Savaiinaea,158742,G,MIA,17,1,17,43.3,100.0,151,37.5,151,37.2,1,100.0,403,403,41.5,100.0,225,55.8,225
Quenton Nelson,12954,G,IND,17,0,14,71.6,100.0,210,52.2,210,84.5,1,100.0,402,402,91.4,100.0,158,39.3,158
Quinn Meinerz,112915,G,DEN,17,0,10,91.5,100.0,208,51.9,208,92.1,0,100.0,401,401,87.7,100.0,139,34.7,139
Patrick Paul,101019,T,MIA,17,0,17,48.5,100.0,148,37.3,148,58.5,2,100.0,397,397,64.3,100.0,222,55.9,222
Troy Fautanu,100521,T,PIT,17,0,25,46.6,100.0,116,29.2,116,56.4,1,100.0,397,397,64.7,100.0,239,60.2,239
Mason McCormick,78326,G,PIT,17,0,25,58.5,100.0,116,29.2,116,66.7,0,100.0,397,397,72.5,100.0,239,60.2,239
Penei Sewell,81788,T,DET,16,0,11,90.9,100.0,149,37.5,149,96.7,1,100.0,397,397,96.0,100.0,221,55.7,221
Damien Lewis,81532,G,CAR,16,0,5,81.3,100.0,152,38.4,152,73.1,2,100.0,396,396,73.5,100.0,209,52.8,209
John Simpson,41715,G,NYJ,17,0,22,59.1,100.0,101,25.5,101,56.7,4,100.0,396,396,59.3,100.0,250,63.1,250
Joel Bitonio,8670,G,CLV,17,0,8,53.4,100.0,170,43.0,170,64.4,0,100.0,395,395,69.7,100.0,181,45.8,181
Bernhard Raimann,77948,T,IND,16,0,14,67.8,100.0,200,50.6,200,78.7,2,100.0,395,395,79.6,100.0,158,40.0,158
Dak Prescott,10769,QB,DAL,17,0,9,60.2,99.4,154,39.0,155,60.2,0,93.4,395,423,60.2,99.1,216,54.7,218
Zach Frazier,123419,C,PIT,17,0,25,66.2,100.0,116,29.4,116,71.6,2,100.0,394,394,71.6,100.0,239,60.7,239
Matthew Bergeron,99658,G,ATL,14,0,2,50.1,100.0,91,23.2,91,71.3,1,100.0,393,393,79.2,100.0,280,71.2,280
Dion Dawkins,11818,T,BUF,15,0,4,66.0,100.0,170,43.3,170,66.0,2,100.0,393,393,64.5,100.0,173,44.0,173
Ikem Ekwonu,98286,T,CAR,15,0,5,66.8,100.0,158,40.3,158,70.5,0,100.0,392,392,70.5,100.0,198,50.5,198
Chris Paul,77579,G,WAS,16,0,32,48.8,100.0,206,52.8,206,38.2,0,100.0,390,390,39.2,100.0,160,41.0,160
Kelvin Banks Jr.,163839,T,NO,17,0,20,60.4,100.0,123,31.9,123,76.1,1,100.0,385,385,81.1,100.0,222,57.7,222
Ed Ingram,59819,G,HST,14,0,13,75.7,100.0,155,40.5,155,75.7,0,100.0,383,383,71.7,100.0,176,46.0,176
Tyler Biadasz,41178,C,WAS,16,0,32,67.2,100.0,214,56.0,214,71.3,0,100.0,382,382,66.3,100.0,142,37.2,142
Walker Little,52287,T,JAX,15,1,15,65.9,100.0,143,37.4,143,63.7,2,100.0,382,382,65.1,100.0,187,49.0,187
Wan'Dale Robinson,101735,WR,NYG,16,0,21,67.0,99.3,137,36.0,138,67.1,1,99.2,381,384,66.4,100.0,220,57.7,220
Josh Allen,46601,QB,BUF,17,0,4,60.0,93.8,180,47.2,192,60.0,0,86.2,381,442,60.0,97.4,190,49.9,195
Trevor Lawrence,77632,QB,JAX,17,0,15,61.0,95.6,153,40.3,160,60.8,0,90.0,380,422,60.4,97.0,197,51.8,203
Ted Karras,10855,C,CIN,17,0,7,68.4,100.0,157,41.6,157,59.4,0,100.0,377,377,58.4,100.0,175,46.4,175
Will Fries,41530,G,MIN,17,0,18,66.0,100.0,141,37.4,141,60.2,0,100.0,377,377,61.7,100.0,200,53.1,200
Orlando Brown Jr.,46227,T,CIN,17,0,7,62.5,100.0,157,41.6,157,59.8,1,100.0,377,377,58.0,100.0,175,46.4,175
Jake Brendel,11117,C,SF,15,0,28,62.0,100.0,88,23.6,88,74.1,1,100.0,373,373,73.8,100.0,246,66.0,246
Robert Hainsey,59980,C,JAX,15,0,15,67.7,100.0,143,38.4,143,67.8,2,100.0,372,372,71.0,100.0,178,47.8,178
Tyler Booker,157001,G,DAL,14,0,9,69.7,100.0,126,33.9,126,76.8,2,100.0,372,372,78.4,100.0,204,54.8,204
Tanor Bortolini,129915,C,IND,16,0,14,76.9,100.0,186,50.1,186,88.2,1,100.0,371,371,85.2,100.0,152,41.0,152
Charles Cross,98401,T,SEA,14,0,29,70.3,100.0,131,35.3,131,66.7,0,100.0,371,371,61.3,100.0,205,55.3,205
Cade Otton,61071,TE,TB,16,0,30,52.7,100.0,197,53.4,197,56.1,0,100.0,369,369,65.9,100.0,146,39.6,146
Drake Maye,143969,QB,NE,17,0,19,60.4,99.5,215,58.4,216,60.4,0,89.5,368,411,60.2,96.8,122,33.2,126
DJ Moore,48267,WR,CHI,17,0,6,63.6,94.8,110,30.0,116,62.7,1,96.6,367,380,60.5,98.3,232,63.2,236
Landon Dickerson,41712,G,PHI,15,0,24,61.0,100.0,119,32.4,119,68.3,1,100.0,367,367,71.4,100.0,197,53.7,197
Bo Nix,97790,QB,DEN,17,0,10,60.4,95.3,202,55.0,212,60.3,0,88.0,367,417,60.0,95.1,137,37.3,144
Kingsley Suamataia,146558,G,KC,17,0,16,49.9,100.0,91,24.9,91,63.7,1,100.0,366,366,77.1,100.0,233,63.7,233
Kyle Pitts,83964,TE,ATL,17,0,2,36.6,100.0,70,19.2,70,43.0,1,100.0,365,365,50.5,100.0,286,78.4,286
Luke Wattenberg,41024,C,DEN,15,0,10,75.7,100.0,187,51.2,187,74.4,2,100.0,365,365,65.4,100.0,128,35.1,128
Kevin Dotson,46735,G,LA,15,0,26,82.9,100.0,169,46.4,169,89.3,0,100.0,364,364,88.3,100.0,163,44.8,163
Bryce Young,123943,QB,CAR,16,0,5,60.2,100.0,150,41.2,150,60.2,0,94.8,364,384,60.0,98.5,196,53.8,199
Aaron Brewer,46014,C,MIA,16,0,17,90.1,100.0,140,38.6,140,91.5,0,100.0,363,363,87.1,100.0,202,55.6,202
Anton Harrison,122929,T,JAX,15,0,15,54.3,100.0,141,38.8,141,64.4,3,100.0,363,363,61.2,100.0,161,44.4,161
Jameson Williams,101701,WR,DET,17,0,11,66.4,100.0,136,37.7,136,67.2,2,98.4,361,367,64.5,100.0,217,60.1,217
Justin Herbert,28237,QB,LAC,16,0,27,60.0,96.8,180,49.9,186,60.0,0,91.2,361,396,60.0,98.2,168,46.5,171
Peter Skoronski,129737,G,TEN,17,0,31,69.5,100.0,163,45.2,163,73.2,1,100.0,361,361,75.8,100.0,174,48.2,174
Steve Avila,77319,G,LA,13,0,26,70.8,100.0,170,47.2,170,74.1,0,100.0,360,360,70.6,100.0,156,43.3,156
Zay Flowers,97268,WR,BLT,17,0,3,64.5,96.6,115,32.2,119,60.1,1,97.3,357,367,58.4,100.0,216,60.5,216
Graham Glasgow,10729,C,DET,14,0,11,65.3,100.0,131,36.8,131,54.3,1,100.0,356,356,55.9,100.0,202,56.7,202
Amarius Mims,146719,T,CIN,17,0,7,62.4,100.0,148,41.6,148,64.8,1,100.0,356,356,60.5,100.0,166,46.6,166
DJ Glaze,129511,T,LV,17,0,23,55.8,100.0,100,28.3,100,54.9,1,100.0,353,353,60.0,100.0,212,60.1,212
Spencer Brown,42296,T,BUF,14,0,4,76.0,100.0,143,40.5,143,85.3,1,100.0,353,353,82.1,100.0,166,47.0,166
Andrew Thomas,59701,T,NYG,13,0,21,68.5,100.0,129,36.5,129,84.5,1,100.0,353,353,90.9,100.0,199,56.4,199
AJ Barner,129433,TE,SEA,17,0,29,56.0,100.0,131,37.2,131,62.4,0,97.0,352,363,69.7,100.0,205,58.2,205
Creed Humphrey,59996,C,KC,17,0,16,68.1,100.0,93,26.5,93,88.5,1,100.0,351,351,90.6,100.0,220,62.7,220
Cole Strange,22976,G,MIA,14,0,17,50.1,100.0,133,37.9,133,57.0,0,100.0,351,351,65.8,100.0,194,55.3,194
Jordan Love,40306,QB,GB,15,0,12,60.5,100.0,149,42.7,149,60.4,0,94.1,349,371,60.0,97.3,181,51.9,186
Justin Jefferson,61398,WR,MIN,17,0,18,63.5,100.0,132,37.8,132,66.3,0,100.0,349,349,68.3,100.0,188,53.9,188
Sean Rhyan,72009,C,GB,15,0,12,69.6,100.0,136,39.3,136,66.7,2,100.0,346,346,63.1,100.0,169,48.8,169
Michael Pittman Jr.,29049,WR,IND,17,1,14,53.7,100.0,177,51.5,177,60.5,1,100.0,344,344,64.3,100.0,143,41.6,143
Amon-Ra St. Brown,84470,WR,DET,17,0,11,77.2,98.4,121,35.3,123,70.0,0,99.1,343,346,60.9,100.0,206,60.1,206
Taylor Moton,11819,T,CAR,15,0,5,74.5,100.0,131,38.2,131,81.9,0,100.0,343,343,81.2,100.0,179,52.2,179
Taylor Decker,10650,T,DET,14,0,11,67.7,100.0,130,37.9,130,62.1,0,100.0,343,343,59.1,100.0,193,56.3,193
Jackson Hawes,109374,TE,BUF,17,0,4,55.8,100.0,156,45.7,156,74.0,0,100.0,341,341,83.5,100.0,146,42.8,146
Theo Johnson,129787,TE,NYG,15,0,21,49.1,100.0,127,37.2,127,51.0,0,100.0,341,341,51.1,100.0,186,54.5,186
Charlie Woerner,42257,TE,ATL,16,1,2,50.3,100.0,73,21.6,73,59.2,1,100.0,338,338,66.1,100.0,250,74.0,250
Adam Trautman,109795,TE,DEN,17,0,10,57.3,100.0,186,55.2,186,54.6,3,100.0,337,337,78.3,100.0,104,30.9,104
Tetairoa McMillan,158735,WR,CAR,17,0,5,62.3,100.0,133,39.6,133,57.2,0,100.0,336,336,56.5,100.0,187,55.7,187
Patrick Mekari,46219,G,JAX,14,0,15,65.0,100.0,123,36.6,123,55.1,2,100.0,336,336,53.2,100.0,164,48.8,164
Aaron Rodgers,2241,QB,PIT,16,0,25,60.0,100.0,98,29.3,98,60.6,0,97.4,335,344,60.2,100.0,215,64.2,215
Hjalte Froholdt,44959,C,ARZ,17,0,1,64.3,100.0,221,66.4,221,66.9,2,100.0,333,333,69.1,100.0,92,27.6,92
Jalen Hurts,40291,QB,PHI,16,0,24,60.0,93.8,121,36.4,129,60.0,0,83.0,332,400,60.0,95.3,202,60.8,212
Dylan Fairchild,146716,G,CIN,15,0,7,58.0,100.0,141,42.5,141,54.3,1,100.0,332,332,52.9,100.0,153,46.1,153
DeVonta Smith,61100,WR,PHI,17,0,24,55.6,100.0,99,29.9,99,46.3,0,100.0,331,331,57.0,100.0,196,59.2,196
C.J. Stroud,129759,QB,HST,14,0,13,60.5,100.0,143,43.2,143,61.2,0,93.8,331,353,60.0,99.4,164,49.5,165
Cole Kmet,60995,TE,CHI,16,0,6,67.1,100.0,95,28.7,95,64.8,0,100.0,331,331,65.5,100.0,199,60.1,199
Romeo Doubs,84329,WR,GB,16,0,12,63.7,100.0,123,37.2,123,32.6,0,100.0,331,331,56.7,100.0,175,52.9,175
Cam Ward,133244,QB,TEN,17,0,31,60.6,99.3,152,46.2,153,60.4,0,95.6,329,344,60.0,98.2,164,49.8,167
Davis Allen,99697,TE,LA,17,0,26,56.4,100.0,149,45.4,149,63.0,3,100.0,328,328,69.4,100.0,145,44.2,145
Donovan Jackson,145064,G,MIN,14,0,18,59.6,100.0,122,37.3,122,57.2,1,100.0,327,327,53.5,100.0,174,53.2,174
Dan Moore Jr.,60120,T,TEN,16,0,31,47.1,100.0,150,45.9,150,59.1,0,100.0,327,327,73.1,100.0,157,48.0,157
Jalen Sundell,91396,C,SEA,13,0,29,61.4,100.0,106,32.4,106,62.4,2,100.0,327,327,61.9,100.0,189,57.8,189
A.J. Brown,48327,WR,PHI,15,1,24,55.6,100.0,97,29.8,97,50.3,1,100.0,325,325,63.5,100.0,196,60.3,196
Jordan Morgan,98652,G,GB,14,0,12,57.2,100.0,115,35.5,115,57.8,1,100.0,324,324,53.8,100.0,180,55.6,180
Hunter Henry,10669,TE,NE,17,0,19,49.2,100.0,161,49.8,161,54.2,1,100.0,323,323,65.0,100.0,105,32.5,105
John Michael Schmitz Jr.,55238,C,NYG,13,0,21,62.3,100.0,107,33.3,107,63.2,1,100.0,321,321,66.9,100.0,195,60.7,195
Kevin Zeitler,7032,G,TEN,16,0,31,65.1,100.0,144,45.1,144,70.8,1,100.0,319,319,76.4,100.0,153,48.0,153
Tyler Warren,129798,TE,IND,17,0,14,45.8,99.4,161,50.8,162,50.7,1,98.1,317,323,65.5,99.2,123,38.8,124
Cam Jurgens,84014,C,PHI,14,1,24,55.2,100.0,84,26.6,84,65.6,1,100.0,316,316,73.9,100.0,182,57.6,182
Ja'Marr Chase,84270,WR,CIN,16,1,7,70.9,100.0,134,42.4,134,65.6,1,99.4,316,318,61.5,100.0,150,47.5,150
Cooper Kupp,11824,WR,SEA,16,0,29,62.8,100.0,117,37.1,117,61.9,1,100.0,315,315,73.7,100.0,180,57.1,180
Tre Tucker,101106,WR,LV,17,0,23,54.2,100.0,88,28.0,88,59.0,2,96.9,314,324,54.8,100.0,199,63.4,199
Lloyd Cushenberry III,41924,C,TEN,15,0,31,61.5,100.0,141,45.0,141,51.2,0,100.0,313,313,48.8,100.0,150,47.9,150
Tommy Tremble,84025,TE,CAR,17,0,5,73.5,100.0,131,42.0,131,72.4,1,100.0,312,312,71.8,100.0,154,49.4,154
Laremy Tunsil,10647,T,WAS,14,1,32,76.1,100.0,183,58.8,183,75.3,1,100.0,311,311,73.1,100.0,109,35.0,109
Aaron Banks,59983,G,GB,14,0,12,59.9,100.0,116,37.3,116,54.6,0,100.0,311,311,50.6,100.0,161,51.8,161
Courtland Sutton,48164,WR,DEN,17,0,10,77.9,100.0,160,51.6,160,48.8,0,100.0,310,310,59.3,100.0,114,36.8,114
Cesar Ruiz,59857,G,NO,14,0,20,45.6,100.0,91,29.4,91,44.7,1,100.0,310,310,50.2,100.0,189,61.0,189
Alec Pierce,78038,WR,IND,15,0,14,65.8,100.0,160,51.9,160,54.6,0,100.0,308,308,59.1,100.0,127,41.2,127
Ethan Pocic,11813,C,CLV,13,0,8,53.9,100.0,147,47.7,147,63.2,1,100.0,308,308,67.1,100.0,131,42.5,131
Dallas Goedert,47272,TE,PHI,15,0,24,49.6,100.0,100,32.5,100,50.0,0,100.0,308,308,59.0,100.0,161,52.3,161
George Pickens,99229,WR,DAL,17,0,9,52.6,100.0,109,35.5,109,53.4,1,100.0,307,307,58.7,100.0,175,57.0,175
Dawson Knox,35883,TE,BUF,17,0,4,63.9,100.0,122,39.7,122,66.6,1,100.0,307,307,75.3,100.0,142,46.3,142
Jakobi Meyers,47468,WR,JAX,16,1,15,47.8,100.0,101,33.0,101,39.3,3,98.4,306,311,54.5,99.4,175,57.2,176
Will Campbell,157106,T,NE,13,0,19,61.6,100.0,168,54.9,168,67.7,0,100.0,306,306,68.1,100.0,91,29.7,91
Jauan Jennings,48027,WR,SF,15,0,28,50.1,100.0,81,26.6,81,43.3,0,100.0,305,305,53.3,100.0,188,61.6,188
Isaac Seumalo,10713,G,PIT,14,0,25,61.8,100.0,94,30.8,94,68.2,0,100.0,305,305,73.2,100.0,182,59.7,182
Tristan Wirfs,64818,T,TB,12,0,30,86.4,100.0,161,53.1,161,91.6,1,100.0,303,303,83.0,100.0,118,38.9,118
Tua Tagovailoa,60326,QB,MIA,14,0,17,60.0,99.2,121,39.9,122,60.0,0,97.7,303,310,60.0,98.8,171,56.4,173
Emeka Egbuka,145055,WR,TB,17,0,30,48.4,100.0,156,51.7,156,50.7,0,99.3,302,304,52.5,100.0,131,43.4,131
Jaxon Smith-Njigba,129758,WR,SEA,17,0,29,58.4,98.2,112,37.5,114,63.7,1,98.7,299,303,67.5,100.0,173,57.9,173
Jared Wilson,146717,G,NE,13,0,19,43.9,100.0,153,51.3,153,42.8,2,100.0,298,298,50.5,100.0,92,30.9,92
Cade Mays,81995,C,CAR,13,0,5,51.1,100.0,118,39.7,118,58.5,1,100.0,297,297,63.7,100.0,152,51.2,152
Braden Smith,46794,T,IND,13,0,14,55.6,100.0,149,50.5,149,58.0,2,100.0,295,295,63.2,100.0,119,40.3,119
Mack Hollins,11873,WR,NE,15,0,19,59.7,100.0,161,55.1,161,55.3,0,99.7,292,293,52.4,100.0,100,34.2,100
Christian Mahogany,98261,G,DET,11,0,11,59.7,100.0,102,34.9,102,67.2,1,100.0,292,292,69.1,100.0,170,58.2,170
Darnell Mooney,48236,WR,ATL,15,0,2,64.0,100.0,54,18.5,54,49.1,0,100.0,292,292,57.1,100.0,227,77.7,227
Jerry Jeudy,61103,WR,CLV,17,0,8,64.5,100.0,120,41.1,120,62.0,1,99.7,292,293,60.9,100.0,151,51.7,151
Dylan Parham,60953,G,LV,15,0,23,64.2,100.0,82,28.2,82,63.1,1,100.0,291,291,68.7,100.0,172,59.1,172
Mekhi Becton,59818,G,LAC,14,0,27,47.8,100.0,125,43.1,125,34.3,1,100.0,290,290,32.2,100.0,136,46.9,136
Colby Parkinson,52266,TE,LA,15,0,26,65.8,100.0,137,47.2,137,67.4,1,100.0,290,290,59.0,100.0,134,46.2,134
Rome Odunze,73774,WR,CHI,12,0,6,63.4,100.0,85,29.3,85,55.1,0,100.0,290,290,64.0,100.0,175,60.3,175
Darius Slayton,25578,WR,NYG,14,0,21,60.2,100.0,100,34.7,100,46.7,1,100.0,288,288,59.3,100.0,175,60.8,175
Drake London,86519,WR,ATL,12,1,2,52.2,100.0,70,24.3,70,54.9,2,100.0,288,288,64.3,100.0,209,72.6,209
Brian O'Neill,46854,T,MIN,14,0,18,76.3,100.0,116,40.3,116,84.5,1,100.0,288,288,90.5,100.0,145,50.3,145
Harold Fannin Jr.,163104,TE,CLV,16,0,8,48.0,98.5,129,44.9,131,49.8,1,98.0,287,293,53.9,100.0,130,45.3,130
Patrick Mahomes,11765,QB,KC,14,0,16,60.4,100.0,80,27.9,80,60.4,0,96.3,287,298,60.0,99.5,181,63.1,182
Trey McBride,75916,TE,ARZ,17,0,1,56.5,100.0,181,63.7,181,54.1,3,100.0,284,284,71.0,100.0,85,29.9,85
Taliese Fuaga,131732,T,NO,13,0,20,48.0,100.0,102,35.9,102,63.5,1,100.0,284,284,78.1,100.0,158,55.6,158
Cooper Beebe,99434,C,DAL,11,0,9,58.4,100.0,92,32.5,92,68.4,0,100.0,283,283,74.0,100.0,158,55.8,158
Cam Robinson,11789,T,CLV,14,0,8,42.2,100.0,114,40.3,114,48.3,4,100.0,283,283,55.1,100.0,136,48.1,136
Drew Sample,47259,TE,CIN,17,0,7,57.8,100.0,127,44.9,127,57.3,0,100.0,283,283,69.2,100.0,117,41.3,117
Geno Smith,7820,QB,LV,15,0,23,60.0,97.6,83,29.4,85,60.0,0,92.5,282,305,60.0,98.9,179,63.5,181
D.K. Metcalf,47864,WR,PIT,15,0,25,65.3,100.0,86,30.5,86,49.7,3,99.6,282,283,64.5,100.0,183,64.9,183
Daniel Bellinger,84041,TE,NYG,16,0,21,52.1,100.0,102,36.3,102,60.9,2,100.0,281,281,65.8,100.0,155,55.2,155
Jayden Higgins,150240,WR,HST,17,0,13,58.9,100.0,127,45.4,127,54.2,2,100.0,280,280,60.5,100.0,132,47.1,132
Cole Van Lanen,41583,T,JAX,12,0,15,68.2,100.0,113,40.4,113,75.8,0,100.0,280,280,79.3,100.0,124,44.3,124
JC Latham,146596,T,TEN,13,0,31,57.2,100.0,130,46.6,130,71.2,3,100.0,279,279,81.8,100.0,133,47.7,133
Jaylen Waddle,84088,WR,MIA,16,1,17,56.7,100.0,113,40.8,113,48.9,1,99.3,277,279,53.8,100.0,159,57.4,159
Fred Johnson,46951,T,PHI,15,0,24,50.9,100.0,108,39.0,108,55.5,0,100.0,277,277,60.9,100.0,136,49.1,136
